Kernel,R-squared,MAE,MSE,RMSE,RAE,RRSE
1**2 * RBF(length_scale=1),-1474.888760268879,0.31057438817245386,23.791078738218715,4.877609941171876,3.39253629251331,36.86948312454231
"1**2 * Matern(length_scale=1, nu=0.5)",0.8829839052066678,0.01173482358308105,0.0019804172032747364,0.044501878648824884,0.1281844749855472,0.33638632109624494
"1**2 * Matern(length_scale=1, nu=1.5)",-0.4099786085073286,0.05375686808384257,0.024507655035920888,0.15654920963045738,0.5872091611270271,1.1833435867657456
"1**2 * ExpSineSquared(length_scale=1, periodicity=5)",-11.74986421875603,0.07634781862537779,0.211325162146627,0.4597011661358137,0.8339797336958602,3.4748462036930974
"1**2 * RationalQuadratic(alpha=1, length_scale=1)",0.7852796307404847,0.019742416494871268,0.003734115057788278,0.06110740591604489,0.2156548221985828,0.4619062406340917
DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),0.7448109456000005,0.033904246191000326,0.004405204651729237,0.06637171575098263,0.3703505184381346,0.501698758888425
"RationalQuadratic(alpha=1, length_scale=1)",-0.30178562763894096,0.07107762237678275,0.02327068017927878,0.15254730472636605,0.7764111358883093,1.1530934915127478
RBF(length_scale=1),-4.962392332683577,0.2884647853120329,0.10134143139135295,0.3183416896847677,3.1510236856354226,2.406320656475233
