base_estimator,n_estimators,max_samples,max_features,R-squared,MAE,MSE,RMSE,RAE,RRSE
,1,0.1,0.1,-0.2060759124327915,0.04338598599767042,0.0066656169006417436,0.08164322936191185,0.9547820426765631,0.9864947402795041
,1,0.1,0.5,-0.12358936357698766,0.041051723732644686,0.006814743786663642,0.08255146144474755,0.9034126513329214,0.9974689040855296
,1,0.1,1.0,-0.024902166938244884,0.044423565972866966,0.006398185851531768,0.07998866076845998,0.9776157458961153,0.9665025960731973
,1,0.1,2.0,-0.25097312458637405,0.04157165524151536,0.008286243567287417,0.09102880624993068,0.9148546240500588,1.0999006198225159
,1,0.1,3.0,-0.1406186114199544,0.0354691894333116,0.008343852643682599,0.0913446913820535,0.7805595369213827,1.1037174583259306
,1,0.1,4.0,-0.6513858312953242,0.022078905931422123,0.005591378185757176,0.07477551862579876,0.4858836884886932,0.9035122251109249
,1,0.5,0.1,0.01975475419438688,0.0416862966028105,0.0063212654555221725,0.07950638625621323,0.9173775012094824,0.9606752755051524
,1,0.5,0.5,0.27774679376645633,0.03634089078983624,0.006200364734366538,0.07874239477160025,0.7997428004256676,0.9514439701405872
,1,0.5,1.0,0.037203605053358325,0.04186708673993726,0.006790896195954188,0.08240689410452373,0.9213560941226625,0.9957220976220712
,1,0.5,2.0,-0.03504458445251146,0.04143657835452419,0.0060096430051843975,0.07752188726536782,0.9118820285652691,0.936696583923995
,1,0.5,3.0,0.28757405642976525,0.03817151286946836,0.006022302189079241,0.07760349340770195,0.8400287371946009,0.9376826305418995
,1,0.5,4.0,0.5057755990639711,0.02569723622968107,0.005168971881135401,0.07189556231879267,0.5655111698933033,0.8687137271668725
,1,1.0,0.1,-0.6305361317701778,0.05433278432289157,0.007829689689403152,0.0884855337860554,1.1956848647602707,1.0691702711050617
,1,1.0,0.5,-0.9209165082441977,0.06317409504578313,0.009483765091300226,0.0973846245117792,1.3902528691014389,1.1766979407331346
,1,1.0,1.0,-0.49157995945857735,0.05388953528915663,0.010385645231820987,0.1019099859278814,1.185930419675939,1.2313778605469299
,1,1.0,2.0,-4.18466429427704,0.05854134951566266,0.009003346267326542,0.0948859645433746,1.2883014638553616,1.1465066445798247
,1,1.0,3.0,-0.441979624283056,0.06735853652289156,0.009137657657315073,0.09559109611943506,1.4823385850095352,1.1550267459577983
,1,1.0,4.0,-0.4705217268487246,0.05822003859879519,0.007511289709021573,0.08666769703310209,1.2812304733849023,1.0472053585276102
,1,2.0,0.1,-0.09726894095466532,0.053623410939759045,0.00797616470881268,0.08930937637679864,1.1800739030132212,1.0791247570916926
,1,2.0,0.5,-0.3160817490869614,0.05268524588433735,0.010874283861946847,0.10427983439738887,1.15942799334019,1.2600127279903188
,1,2.0,1.0,-0.47570436629650975,0.0492428366873494,0.00837625871254112,0.09152190291149502,1.0836719534750312,1.1058587043677304
,1,2.0,2.0,-0.15376419677774095,0.09711984575301204,0.008294533401088228,0.09107432899060101,2.1372865587858842,1.100450670874947
,1,2.0,3.0,-0.22876114111442228,0.10114824270240966,0.008359981015164048,0.09143293178698826,2.225938250792248,1.1047836667063267
