n_estimators,max_depth,min_samples_split,min_samples_leaf,R-squared,MAE,MSE,RMSE,RAE,RRSE
10,,2,1,0.8578740396079019,0.007835390803795183,0.0009524453603761199,0.030861713503564897,0.17243103423345993,0.3729019330227874
10,,2,2,0.806186101608483,0.008875903544311997,0.00117352009055966,0.034256679502830685,0.19532927791691515,0.4139232905545594
10,,2,3,0.7849407924423957,0.010702010804748434,0.0014992098177119407,0.03871963090877728,0.2355158584491548,0.46784911052149064
10,,2,4,0.7939768440587555,0.01160336861668596,0.0015221710328225217,0.03901501035271581,0.25535176244152685,0.4714181788950646
10,3.0,2,1,0.6038027629687969,0.027243159229429215,0.0027722767108524045,0.052652414102796884,0.5995318216217086,0.636198861575889
10,3.0,2,2,0.5873624850379442,0.027441145343842104,0.0028948807768017634,0.05380409628273449,0.6038888411153046,0.6501146317121461
10,3.0,2,3,0.5687113114188191,0.02789326454073915,0.003120195931886504,0.05585871401926922,0.6138384891507285,0.674940567753844
10,3.0,2,4,0.5598878148400684,0.02852404579964435,0.003196933738173341,0.05654143381780605,0.62771989820507,0.6831898677338306
10,5.0,2,1,0.7685967636229588,0.018083793664618285,0.0014939107466605006,0.038651141595824834,0.3979644822494717,0.4670215544887247
10,5.0,2,2,0.7193026726508467,0.01845500129502528,0.0018649265279979822,0.043184795101956684,0.4061335343400741,0.5218016675857119
10,5.0,2,3,0.7510206586572036,0.019297442643504976,0.001744340629061875,0.04176530412988603,0.4246728818514994,0.5046499651265339
10,5.0,2,4,0.7117214804283563,0.020812815411564226,0.0020924283088419645,0.04574306842399146,0.45802122403235324,0.5527132715987944
10,7.0,2,1,0.8440896897047911,0.012360932804722459,0.0009915520566860922,0.031488919585881195,0.27202324440233644,0.38048046104173167
10,7.0,2,2,0.8143665066500896,0.01315433075003227,0.0012109485307195723,0.034798685761384326,0.2894833088323338,0.4204723495205094
10,7.0,2,3,0.8009952673961684,0.014634686253347176,0.0014434460390808997,0.037992710341339164,0.3220610368438256,0.45906573286747987
10,7.0,2,4,0.7914559163403753,0.015040991857860514,0.0015269984693514686,0.0390768277800472,0.3310024792498829,0.47216511856656757
10,10.0,2,1,0.8458985896137351,0.009281287920277449,0.000989402851788146,0.03145477470572863,0.20425044712980892,0.3800678886221785
