Degree,R-squared,MAE,MSE,RMSE,RAE,RRSE
1,0.6316226389132236,0.028400166322183385,0.002684790268599951,0.05181496182185172,0.6249937206660316,0.6260799297692439
2,-1.2186122206216896,0.019717856196706716,0.008744315658522675,0.09351104564981975,0.4339247935429018,1.1298935063269233
3,-6.563562228799982e+23,1624943306.1501002,2.1851149380353537e+21,46745212995.93525,35759627294.46567,564822179550.4856
4,-1.221646479309265e+17,905392.5101357431,409194754466809.44,20228562.83740418,19924694.354022097,244421625.63234222
5,-5.018911659520037e+17,1516609.1364953215,1671650359122901.5,40885821.003410235,33375550.560558714,494023174.8193183
6,-9.399974067911319e+17,2306331.6653105794,3159729062741061.5,56211467.35979289,50754731.23079678,679202884.6386899
7,-4.1472241922894363e+21,145372276.73265362,1.381349042960382e+19,3716650431.450854,3199162958.629045,44908268949.418724
8,-1082547800515774.2,73133.09130707933,3683149523488.9272,1919153.3350644307,1609417.4351407865,23189120.342588514
9,-1.5100677728573594e+16,548638.5488759654,53980806877201.3,7347163.185692918,12073719.712513307,88775736.7672496
