base_estimator,n_estimators,max_samples,max_features,R-squared,MAE,MSE,RMSE,RAE,RRSE
,1,0.1,0.1,0.046552478149752274,0.0859652311737667,0.016538179373525023,0.12860085292689558,0.9390348263017744,0.97208408092812
,1,0.1,0.5,0.1797621003375238,0.06024676627778593,0.01394468231493857,0.11808760440850077,0.6581010826638535,0.8926152337861633
,1,0.1,1.0,0.046552478149752274,0.0859652311737667,0.016538179373525023,0.12860085292689558,0.9390348263017744,0.97208408092812
,1,0.1,2.0,0.1797621003375238,0.06024676627778593,0.01394468231493857,0.11808760440850077,0.6581010826638535,0.8926152337861633
,1,0.1,3.0,0.21952587042941302,0.0588314753681514,0.013193469522346984,0.11486282915872735,0.6426412573909039,0.8682394025725263
,1,0.1,4.0,0.6428456274880858,0.02507258271566265,0.006253721418640691,0.07908047431977562,0.2738784975491799,0.597763299767522
,1,0.5,0.1,0.04094458123967844,0.08594284907230411,0.016548574439078884,0.12864126258350733,0.9387903370766282,0.9723895344536141
,1,0.5,0.5,0.36591598813810744,0.05339840209594401,0.011064533097867466,0.10518808439109187,0.5832934844972394,0.7951087416039926
,1,0.5,1.0,0.04094458123967844,0.08594284907230411,0.016548574439078884,0.12864126258350733,0.9387903370766282,0.9723895344536141
,1,0.5,2.0,0.36591598813810744,0.05339840209594401,0.011064533097867466,0.10518808439109187,0.5832934844972394,0.7951087416039926
,1,0.5,3.0,0.32854647048256586,0.05396526411659004,0.0115113506217593,0.1072909624421335,0.5894855597330804,0.8110042370927569
,1,0.5,4.0,0.776801122010521,0.0175023982686747,0.0037282497831847908,0.06105939553569779,0.19118614925687383,0.4615433338151046
,1,1.0,0.1,-0.05656584448124704,0.09561312134939759,0.01828662359521782,0.13522804293199625,1.0444228390082047,1.022178506887382
,1,1.0,0.5,-0.05656584448124704,0.09561312134939759,0.01828662359521782,0.13522804293199625,1.0444228390082047,1.022178506887382
,1,1.0,1.0,-0.05656584448124704,0.09561312134939759,0.01828662359521782,0.13522804293199625,1.0444228390082047,1.022178506887382
,1,1.0,2.0,-0.05656584448124704,0.09561312134939759,0.01828662359521782,0.13522804293199625,1.0444228390082047,1.022178506887382
,1,1.0,3.0,-0.05656584448124704,0.09561312134939759,0.01828662359521782,0.13522804293199625,1.0444228390082047,1.022178506887382
,1,1.0,4.0,-0.05656584448124704,0.09561312134939759,0.01828662359521782,0.13522804293199625,1.0444228390082047,1.022178506887382
,1,2.0,0.1,-0.7164324708285628,0.12891387760481926,0.029476433330269565,0.17168702143805037,1.408181179898588,1.2977691566071206
,1,2.0,0.5,0.11881282407099789,0.07515265195060242,0.01526282672686255,0.12354281333554999,0.8209244191747977,0.9338507437803
,1,2.0,1.0,-0.7164324708285628,0.12891387760481926,0.029476433330269565,0.17168702143805037,1.408181179898588,1.2977691566071206
,1,2.0,2.0,0.11881282407099789,0.07515265195060242,0.01526282672686255,0.12354281333554999,0.8209244191747977,0.9338507437803
,1,2.0,3.0,-0.01243716688483435,0.08229741580120484,0.01765887737139988,0.1328867087838354,0.8989697171378308,1.0044805398695866
,1,2.0,4.0,0.11881282407099789,0.07515265195060242,0.01526282672686255,0.12354281333554999,0.8209244191747977,0.9338507437803
,1,3.0,0.1,-0.1965348308441586,0.10496375970000002,0.020616822149069465,0.14358559171821336,1.1465638434524312,1.0853525834643087
