Method,MAE,RMSE,RAE,RRSE,r2,
Base Model,0.07979,0.656824372,1.755875585,7.936405663,-84.26947053,
Hyperparameter Tuning,0.00623,0.024787233,0.137162186,0.299504014,0.90833616,
Polynomial Feature Expansion,0.0066,0.027844535,0.152582478,0.349082783,0.889155739,poly12
Synthetic Data Generation,0.05796,0.10134793,1.095505958,1.154795524,-0.356578604,syn283
