n_estimators,max_depth,min_samples_split,min_samples_leaf,R-squared,MAE,MSE,RMSE,RAE,RRSE
10,,2,1,0.9046733512168679,0.011890396927329317,0.0016518823717936871,0.040643355813634374,0.12988386887187386,0.30722004001319086
10,,2,2,0.8915179016807665,0.013256506359207257,0.0018821743138350625,0.04338403293649707,0.14480646392055893,0.3279366102494177
10,,2,4,0.8675401465759874,0.015273624819333467,0.002286053496517075,0.047812691793257936,0.16684030780106882,0.3614125062216303
10,,5,1,0.8995878905186856,0.012447376952585543,0.0017268977739893162,0.04155595954841274,0.13596799886406594,0.31411834233843205
10,,5,2,0.8862443110299612,0.013577310776005585,0.001970556875049017,0.044390954878770254,0.14831074717196008,0.335547856742296
10,,5,4,0.8675401465759874,0.015273624819333467,0.002286053496517075,0.047812691793257936,0.16684030780106882,0.3614125062216303
10,,10,1,0.8860470839742532,0.013329762026470859,0.0019367007750452042,0.044007962632291946,0.14560666676821307,0.3326528474367815
10,,10,2,0.8734952200702898,0.01450508214984363,0.0021688921717612514,0.04657136643648382,0.15844518895713644,0.3520294221198593
10,,10,4,0.8651986643548858,0.015361978497607598,0.002319047709768363,0.04815649187563773,0.16780543265210965,0.36401126493509817
10,10.0,2,1,0.9048156971956607,0.01307221621752509,0.0016410329905005468,0.040509665396057604,0.14279338422751606,0.3062094842995916
10,10.0,2,2,0.8903456857961013,0.013770964102453931,0.001900137196589857,0.04359056315981542,0.15042610491928707,0.3294977565229375
10,10.0,2,4,0.8675277363564383,0.015365627170041219,0.0022861074722825125,0.04781325624011099,0.16784528865479997,0.3614167728325267
10,10.0,5,1,0.8956064228262599,0.013600239657091498,0.0017930582888251243,0.042344518993904325,0.1485612091037646,0.32007900330126116
10,10.0,5,2,0.8856182447732571,0.014013060773570642,0.0019836643464143126,0.044538346920539304,0.15307062994883988,0.33666198199262093
10,10.0,5,4,0.8675277363564383,0.015365627170041219,0.0022861074722825125,0.04781325624011099,0.16784528865479997,0.3614167728325267
10,10.0,10,1,0.8849772014185711,0.013969229870446789,0.0019556472376889545,0.044222700479379984,0.15259184632970016,0.33427603451506405
10,10.0,10,2,0.8737013174638495,0.014759555461469573,0.002165712176917137,0.04653721281852983,0.16122490930126118,0.35177125751547644
10,10.0,10,4,0.8652036897894637,0.015419396964748103,0.002319088551329487,0.048156915924189816,0.16843263901893496,0.36401447028589984
10,20.0,2,1,0.9046733512168679,0.011890396927329317,0.0016518823717936871,0.040643355813634374,0.12988386887187386,0.30722004001319086
10,20.0,2,2,0.8915179016807665,0.013256506359207257,0.0018821743138350625,0.04338403293649707,0.14480646392055893,0.3279366102494177
10,20.0,2,4,0.8675401465759874,0.015273624819333467,0.002286053496517075,0.047812691793257936,0.16684030780106882,0.3614125062216303
10,20.0,5,1,0.8995878905186856,0.012447376952585543,0.0017268977739893162,0.04155595954841274,0.13596799886406594,0.31411834233843205
10,20.0,5,2,0.8862443110299612,0.013577310776005585,0.001970556875049017,0.044390954878770254,0.14831074717196008,0.335547856742296
10,20.0,5,4,0.8675401465759874,0.015273624819333467,0.002286053496517075,0.047812691793257936,0.16684030780106882,0.3614125062216303
10,20.0,10,1,0.8860470839742532,0.013329762026470859,0.0019367007750452042,0.044007962632291946,0.14560666676821307,0.3326528474367815
10,20.0,10,2,0.8734952200702898,0.01450508214984363,0.0021688921717612514,0.04657136643648382,0.15844518895713644,0.3520294221198593
10,20.0,10,4,0.8651986643548858,0.015361978497607598,0.002319047709768363,0.04815649187563773,0.16780543265210965,0.36401126493509817
10,30.0,2,1,0.9046733512168679,0.011890396927329317,0.0016518823717936871,0.040643355813634374,0.12988386887187386,0.30722004001319086
10,30.0,2,2,0.8915179016807665,0.013256506359207257,0.0018821743138350625,0.04338403293649707,0.14480646392055893,0.3279366102494177
10,30.0,2,4,0.8675401465759874,0.015273624819333467,0.002286053496517075,0.047812691793257936,0.16684030780106882,0.3614125062216303
10,30.0,5,1,0.8995878905186856,0.012447376952585543,0.0017268977739893162,0.04155595954841274,0.13596799886406594,0.31411834233843205
10,30.0,5,2,0.8862443110299612,0.013577310776005585,0.001970556875049017,0.044390954878770254,0.14831074717196008,0.335547856742296
10,30.0,5,4,0.8675401465759874,0.015273624819333467,0.002286053496517075,0.047812691793257936,0.16684030780106882,0.3614125062216303
10,30.0,10,1,0.8860470839742532,0.013329762026470859,0.0019367007750452042,0.044007962632291946,0.14560666676821307,0.3326528474367815
10,30.0,10,2,0.8734952200702898,0.01450508214984363,0.0021688921717612514,0.04657136643648382,0.15844518895713644,0.3520294221198593
10,30.0,10,4,0.8651986643548858,0.015361978497607598,0.002319047709768363,0.04815649187563773,0.16780543265210965,0.36401126493509817
50,,2,1,0.9172269556907026,0.011437291011074734,0.0014416906744822914,0.037969601979508445,0.12493440000455498,0.2870093378341639
50,,2,2,0.896730922018879,0.012687311628577069,0.0018018234561210315,0.04244789106800279,0.1385889075002336,0.3208603849589766
50,,2,4,0.8807257524784117,0.014602449766466774,0.002060608465573048,0.04539392542590966,0.15950877689512868,0.34312923493943914
50,,5,1,0.9089053374908618,0.011879841990920124,0.0015766391353467172,0.03970691545998905,0.12976857280691478,0.3001415584961609
50,,5,2,0.8922249710514187,0.01287317783108928,0.0018806058177754305,0.043365952287196814,0.14061920317684995,0.32779993999445745
50,,5,4,0.8807257524784117,0.014602449766466774,0.002060608465573048,0.04539392542590966,0.15950877689512868,0.34312923493943914
50,,10,1,0.902609130343232,0.012634929635524591,0.0016700094020705956,0.04086574851964167,0.13801671668453105,0.3089010895887105
50,,10,2,0.885539049750386,0.013758491997914133,0.001980734087464061,0.04450543885261734,0.15028986681045825,0.3364132324063392
50,,10,4,0.8790357831965998,0.014769230582800674,0.0020860960085232554,0.045673800022805806,0.16133059477147452,0.3452447857628351
50,10.0,2,1,0.916333249826289,0.012468223682339758,0.0014582506843172716,0.03818704864633128,0.1361957165702411,0.2886530006751057
50,10.0,2,2,0.8961589316760339,0.013214373515744745,0.0018098699560437927,0.042542566401708684,0.1443462289301772,0.32157602861652196
50,10.0,2,4,0.8805238037215022,0.014710437810526467,0.002064337429577327,0.0454349802418503,0.16068837628445953,0.3434395651753048
50,10.0,5,1,0.9078495080841842,0.012760751061053097,0.0015953206533696705,0.03994146533828811,0.13939111769355503,0.3019145032137807
50,10.0,5,2,0.8919096640886325,0.013361612492176813,0.0018860455790217952,0.0434286262621994,0.14595458296786087,0.3282736878118466
50,10.0,5,4,0.8805238037215022,0.014710437810526467,0.002064337429577327,0.0454349802418503,0.16068837628445953,0.3434395651753048
50,10.0,10,1,0.9019066199781853,0.013345586384910919,0.0016812861433147367,0.041003489404131656,0.14577952297386979,0.3099422624741018
50,10.0,10,2,0.8852733990048811,0.014097937319362267,0.001984745827115269,0.04455048627248943,0.1539977726011225,0.33675374243211204
50,10.0,10,4,0.8788430714751192,0.014862329994824005,0.0020897511598827437,0.04571379616573911,0.16234755929311248,0.34554711356983725
50,20.0,2,1,0.9172471251783133,0.01143579229752654,0.0014413226748733632,0.03796475569358195,0.12491802891827757,0.28697270512688744
50,20.0,2,2,0.896730922018879,0.012687311628577069,0.0018018234561210315,0.04244789106800279,0.1385889075002336,0.3208603849589766
