Degree,R-squared,MAE,MSE,RMSE,RAE,RRSE
1,0.7448307103578335,0.03390073419177546,0.004404893175152552,0.06636936925383992,0.3703121553751024,0.5016810218947234
2,0.8489529266149074,0.021054429999403747,0.0025922279613834137,0.050913926988432286,0.22998650439744608,0.38485450754456635
3,-2.2939036224705954e+24,6826389232.7219,3.8349823351871576e+22,195831109254.56042,74567556439.88155,1480272482835.4607
4,-7.779931263237456e+16,1913149.6654392518,1324387974755269.2,36392141.662112564,20898148.463576436,275085435.0921809
5,-1.3557004143665246e+21,171670752.92332527,2.2664802022549164e+19,4760756454.866093,1875232735.9720185,35986196495.77185
6,-1.6139333196846712e+18,6078518.463800648,2.698151290919839e+16,164260503.19294164,66398245.56848299,1241632669.185095
7,-7.570260995233098e+16,1613180.8944646548,1158572669308054.5,34037812.346096136,17621461.843857955,257289238.58745837
8,-1.048282212605338e+18,4901247.410734812,1.9732642124008524e+16,140472923.0991102,53538412.54376659,1061824157.7581842
9,-2.0259122089762263e+18,10455624.451819457,3.3046060952285068e+16,181785755.63636735,114211238.15911992,1374104721.4831078
