Kernel,C,degree/gamma,R-squared,MAE,MSE,RMSE,RAE,RRSE
linear,0.0001,0.0,-0.24337541424969356,0.0706305996871887,0.008030144402637862,0.08961107299122058,1.5543458721538705,1.0827701558052596
linear,0.001,0.0,-0.1490043887697941,0.07365720764642632,0.0073175368333659035,0.08554260244676862,1.6209515021344176,1.0336108461545768
linear,0.01,0.0,0.5449938332954714,0.03766773148499358,0.003158239320210661,0.0561982145642605,0.8289421752951645,0.6790427511752186
linear,0.1,0.0,0.5273701072316868,0.03743469064274495,0.0031257469144662453,0.05590837964443474,0.8238137171934823,0.6755406772593279
linear,1.0,0.0,0.5228471071035183,0.03769259782406244,0.00315082496291771,0.056132209674283354,0.8294894011669315,0.678245214413088
linear,10.0,0.0,0.5230560995847716,0.03771482572038285,0.0031497472700426376,0.05612260925903782,0.8299785636410618,0.6781292126427241
linear,100.0,0.0,0.5224756598854828,0.03774820494465801,0.0031516302240085893,0.05613938211281443,0.830713129957893,0.6783318789527099
poly,0.0001,2.0,-0.18241659511234795,0.0639218099434757,0.007738693723935236,0.08796984553774796,1.4067076007605728,1.0629392125279424
poly,0.0001,3.0,-0.147732539566988,0.06396087910163725,0.00749281661211783,0.08656105713378176,1.407567383701478,1.0459168291467216
poly,0.0001,4.0,-0.11258983382177801,0.06236593087326183,0.007277160551202708,0.0853062749814028,1.3724678488532112,1.0307553025487068
poly,0.0001,5.0,-0.1774435537528764,0.06377592982759772,0.00762363647220316,0.08731343809633864,1.4034972619421502,1.0550078446301814
poly,0.0001,6.0,-0.7943077010988134,0.06446777415154112,0.01116045830252298,0.10564307030053122,1.4187224670778438,1.2764847007273195
poly,0.001,2.0,-0.0657952555250998,0.059815942191668206,0.007015755013481439,0.08376010394860693,1.3163510326456733,1.012072925536594
poly,0.001,3.0,-0.07857179638310702,0.06609739026560228,0.006913572318938905,0.0831478942543881,1.4545849274180445,1.0046755988015401
poly,0.001,4.0,0.016530700618359585,0.05908904205609654,0.006328412096275412,0.07955131737611523,1.300354365051205,0.961218178006739
poly,0.001,5.0,-0.20827982767823422,0.06532513796570481,0.0071707578837187326,0.08468032760753073,1.4375902086994847,1.0231919834977259
poly,0.001,6.0,-1.450055593638281,0.06476305582586524,0.01331069177051126,0.11537197133841157,1.425220640017633,1.394038964290615
poly,0.01,2.0,0.26875695264953603,0.04466424761095113,0.004796085508129712,0.06925377612902933,0.9829123526404469,0.8367930375822887
poly,0.01,3.0,0.05347018353638686,0.06532887404276058,0.0056917142004773,0.07544345034843847,1.4376724273975476,0.9115828408423171
poly,0.01,4.0,0.04352674549875655,0.05467805256881451,0.005277407423681592,0.07264576672925678,1.203283076798862,0.8777784433820617
poly,0.01,5.0,-0.4161341343609665,0.06601400255144038,0.008244877010980357,0.09080130511716424,1.4527498396533938,1.09715172475019
poly,0.01,6.0,-5.127477285483507,0.07277151830519624,0.02732176523552987,0.1652929678949769,1.6014604093552443,1.997234121040962
poly,0.1,2.0,-0.09396931214539246,0.05213049357312125,0.005719383991960159,0.0756266090206361,1.1472197299412463,0.9137959461808944
poly,0.1,3.0,-0.015714607855125517,0.06155396316016901,0.005744640661472641,0.0757934077705485,1.3545991252580898,0.9158113746586726
poly,0.1,4.0,-2.3590861453348624,0.06675244835911712,0.017361596807826857,0.1317634122502406,1.4690005893009275,1.5920966645004169
poly,0.1,5.0,-12.74452257917542,0.08889975145190865,0.07774337804805352,0.2788249953789178,1.9563894730720113,3.369041052754829
poly,0.1,6.0,-37.40695514633954,0.10093338701060309,0.20334913612243016,0.450942497578605,2.221209987700226,5.44873598835532
poly,1.0,2.0,-0.8218869587026163,0.055818863150145115,0.008667192415308545,0.09309775730547189,1.228388544200441,1.1248997452875271
poly,1.0,3.0,-5.337456413462285,0.06906082478493897,0.023483647709562953,0.1532437525955396,1.5198003189470615,1.8516435116261962
poly,1.0,4.0,-8.09187364660863,0.07905110854653605,0.04434767347046122,0.2105888730927188,1.7396534193774245,2.544544321568349
poly,1.0,5.0,-131.11499328064232,0.14417394180317772,0.7357189141954672,0.8577405867717041,3.1727915705998067,10.36407530652248
poly,1.0,6.0,-392.04172031102246,0.22206082764410978,2.0336382115089227,1.4260568752714327,4.8868242991613835,17.231038235376218
poly,10.0,2.0,-1.3390543465250029,0.05746131398528449,0.010859656893687435,0.10420967754334257,1.26453345429778,1.2591650230666878
poly,10.0,3.0,-8.280915752594204,0.07893699196319594,0.034155982697280304,0.1848133726148633,1.737142090844967,2.2330990756097338
poly,10.0,4.0,-76.1779262213699,0.10622924744124256,0.2986229158803794,0.5464640115143717,2.337754358501605,6.602921973128849
poly,10.0,5.0,-1299.1360252414665,0.2768741923782726,5.411415991772387,2.3262450412139275,6.093085149143438,28.108007433000928
poly,10.0,6.0,-10554.156132903063,0.7302474963954346,43.70308159353446,6.610830628108276,16.070331934033177,79.87863408242269
poly,100.0,2.0,-1.3367992937541604,0.0574703615754937,0.01089170225287418,0.10436331852175926,1.2647325618312981,1.2610214662559642
poly,100.0,3.0,-18.64234728962855,0.08585641038768872,0.07577643395743558,0.2752751967712231,1.8894156027993987,3.3261488535741823
poly,100.0,4.0,-53.78157096336004,0.12315777962149824,0.3545128924342828,0.5954098524833821,2.7102953567734507,7.1943343296936115
poly,100.0,5.0,-6145.557855770048,0.5396751663222348,26.09034422044622,5.10787081086104,11.876465310956041,61.71837797602309
poly,100.0,6.0,-16100.591959140633,0.8204933925059695,63.01936383355828,7.938473646335187,18.056345598358334,95.9205381654165
rbf,0.0001,0.0001,-0.22849520461811448,0.06478833048903605,0.008029896177992211,0.0896096879695059,1.4257768517522582,1.0827534205946685
rbf,0.0001,0.001,-0.22790202931244075,0.06477463007820125,0.008026604298877128,0.08959131821151604,1.4254753510270457,1.0825314588989
rbf,0.0001,0.01,-0.22774707979834669,0.06490648210632381,0.008025399228220141,0.08958459258276583,1.4283769780351,1.0824501931596706
rbf,0.0001,0.1,-0.22911079572485232,0.06531463986891185,0.008025812106836464,0.08958689695952451,1.4373591803139425,1.082478036932753
rbf,0.0001,1.0,-0.24314548931411656,0.06593798635836697,0.008109031146700448,0.09005015905982869,1.4510769746848986,1.088075630620468
rbf,0.0001,10.0,-0.24104294046925853,0.06564251407034555,0.008104430365789537,0.09002460977860186,1.4445746069681304,1.087766918780611
rbf,0.0001,100.0,-0.23237199280329088,0.06505503208430666,0.008052736833888987,0.08973704270750729,1.4316460716872677,1.0842922472698253
rbf,0.001,0.0001,-0.22844092490899431,0.06480208591445698,0.008029353231217335,0.0896066584089449,1.426079563166538,1.0827168144292567
rbf,0.001,0.001,-0.22801137154345943,0.06495793440442085,0.008026006521476729,0.0895879820147587,1.4295092729259002,1.0824911476498302
rbf,0.001,0.01,-0.22489018102514974,0.06585869488878535,0.007990715906691166,0.089390804374338,1.4493320317141885,1.080108651186915
rbf,0.001,0.1,-0.24490443284762148,0.06923643305354524,0.008069331123383813,0.08982945576693545,1.523664876074328,1.0854088738140166
rbf,0.001,1.0,-0.28927718853988466,0.070240033454997,0.00834374472965995,0.09134410068340457,1.5457508012710168,1.1037103209170502
rbf,0.001,10.0,-0.293205238717894,0.06896143934446171,0.008387699609010025,0.09158438518115425,1.5176131741423706,1.1066136773258224
rbf,0.001,100.0,-0.2613180806664063,0.06693707182213357,0.008216536701684924,0.09064511405301956,1.4730635410373323,1.0952644688875592
rbf,0.01,0.0001,-0.22851635155905536,0.06498962087254255,0.008029108475298901,0.08960529267458983,1.4302065872789742,1.0827003122677372
rbf,0.01,0.001,-0.22260216519834816,0.06605710578750379,0.007977243623984732,0.08931541649673214,1.4536983993052777,1.0791977398312487
