Kernel,R-squared,MAE,MSE,RMSE,RAE,RRSE
1**2 * RBF(length_scale=1),-565.7705741320731,0.1022262742503008,2.6339911638341365,1.622957536053897,2.249662159323923,19.61018795468016
"1**2 * Matern(length_scale=1, nu=0.5)",0.9081341524092267,0.00624129633005269,0.0006150469658483241,0.024800140440092756,0.13735028770067395,0.2996599754021737
"1**2 * Matern(length_scale=1, nu=1.5)",0.720040757074979,0.010005333553783633,0.0015913765137786425,0.03989206078630988,0.22018429657573832,0.4820155749861119
"1**2 * ExpSineSquared(length_scale=1, periodicity=5)",-136.7564778825302,0.10032399249516921,0.5709562764624231,0.7556164876856666,2.207799230128113,9.130110317734832
"1**2 * RationalQuadratic(alpha=1, length_scale=1)",0.7451903838015349,0.012868285449825049,0.0019420019201976293,0.04406815085974937,0.2831883979354247,0.5324752508781513
DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),0.6317776482996662,0.02840231201330142,0.0026846582548874258,0.05181368791050706,0.6250409402301725,0.6260645371047093
"RationalQuadratic(alpha=1, length_scale=1)",0.8515327551306997,0.008251559356770521,0.0010777389045036677,0.03282893395320152,0.18158952751119434,0.39667184807519423
RBF(length_scale=1),-0.9401578993663682,0.07414990935782734,0.012384985000464532,0.11128784749677088,1.631794237078069,1.3446905159267113
