Kernel,R-squared,MAE,MSE,RMSE,RAE,RRSE
1**2 * RBF(length_scale=1),-560.62577474472,0.10191919797134182,2.6071398275487354,1.6146639983441555,2.2429044261494897,19.50997717917663
"1**2 * Matern(length_scale=1, nu=0.5)",0.908336160104637,0.0062327488754674795,0.0006144069147238615,0.02478723289768064,0.13716218649792636,0.2995040136304628
"1**2 * Matern(length_scale=1, nu=1.5)",0.4839261253802527,0.013687267514646878,0.0028005349281254323,0.052920080575575776,0.3012114842105192,0.6394330742547512
"1**2 * ExpSineSquared(length_scale=1, periodicity=5)",-136.76314652939215,0.10032495709878045,0.5709795524363681,0.7556318895046503,2.207820457862948,9.130296417838135
"1**2 * RationalQuadratic(alpha=1, length_scale=1)",0.7514260692919096,0.012450185771797304,0.0019048643376872103,0.043644751548006434,0.27398740698292734,0.5273593190692704
DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),0.6317776482995646,0.028402312013297765,0.0026846582548877072,0.051813687910509776,0.625040940230092,0.6260645371047421
"RationalQuadratic(alpha=1, length_scale=1)",0.41498570394901024,0.021802423286474474,0.002954767794921543,0.05435777584597758,0.47979922000336456,0.6568047391614525
RBF(length_scale=1),-0.9401578993663682,0.07414990935782734,0.012384985000464532,0.11128784749677088,1.631794237078069,1.3446905159267113
