rpm,mpa
1216.20717,126.543567
1266.866718,127.8391902
1317.069873,129.4373157
1366.360244,130.8128452
1412.34177,132.1626905
1469.048516,134.1717626
1517.882494,135.744204
1565.550137,137.2376903
1622.852728,139.0374841
1673.055883,139.625366
1723.259039,140.5100426
1773.462194,141.1949536
1823.665349,141.8513266
1873.868504,142.6503893
1924.07166,143.4209141
1974.274815,144.4197426
2003.940316,145.1902674
1181.920904,124.507772
1196.986817,125.1295337
1203.013183,125.9585492
1215.065913,126.373057
1230.131827,126.7875648
1246.704331,126.9948187
1251.224105,127.2020725
1258.757062,127.8238342
1266.290019,127.6165803
1273.822976,128.0310881
1284.369115,128.4455959
1288.888889,128.4455959
1294.915254,128.8601036
1300.94162,128.8601036
1303.954802,128.8601036
1316.007533,129.4818653
1328.060264,129.6891192
1334.086629,130.1036269
1343.126177,130.1036269
1347.645951,130.3108808
1350.659134,130.3108808
1365.725047,130.7253886
1374.764595,130.9326425
1383.804143,131.3471503
1397.363465,131.761658
1397.363465,131.761658
1407.909605,132.1761658
1413.93597,132.1761658
1419.962335,132.5906736
1429.001883,132.5906736
1432.015066,133.0051813
1441.054614,133.0051813
1441.054614,133.4196891
1448.587571,133.4196891
1450.847458,133.626943
1444.821092,133.626943
1448.587571,133.626943
1459.13371,134.0414508
1475.706215,134.4559585
1475.706215,134.4559585
1483.239171,134.6632124
1492.278719,135.0777202
1498.305085,135.492228
1504.33145,135.492228
1516.384181,135.9067358
1516.384181,135.9067358
1525.423729,136.3212435
1534.463277,136.7357513
1551.035782,137.1502591
1563.088512,137.5647668
1564.595104,137.7720207
1575.141243,138.1865285
1582.6742,138.6010363
1603.766478,139.015544
1611.299435,139.2227979
1624.858757,139.4300518
1627.87194,139.4300518
1636.911488,139.4300518
1645.951036,139.6373057
1656.497175,139.6373057
1659.510358,139.8445596
1664.030132,139.8445596
1679.096045,140.0518135
1695.66855,140.0518135
1671.563089,139.8445596
1692.655367,139.8445596
1703.201507,139.8445596
1706.214689,140.0518135
1721.280603,140.4663212
1730.320151,140.4663212
1591.713748,138.8082902
1597.740113,139.2227979
1541.996234,137.357513
1356.685499,130.9326425
1239.171375,126.9948187
1715.254237,140.4663212
1739.359699,140.880829
1733.333333,140.880829
1745.386064,141.0880829
1755.932203,141.2953368
1757.438795,141.2953368
1760.451977,141.2953368
1767.984934,141.5025907
1770.998117,141.5025907
1777.024482,141.5025907
1784.557439,141.7098446
1784.557439,141.7098446
1792.090395,141.9170984
1792.090395,141.9170984
1799.623352,141.9170984
1802.636535,141.9170984
1808.6629,142.1243523
1810.169492,142.1243523
1814.689266,142.1243523
1819.20904,142.3316062
1819.20904,142.3316062
1844.821092,142.3316062
1826.741996,142.3316062
1837.288136,142.5388601
1840.301318,142.5388601
1844.821092,142.5388601
1847.834275,142.746114
1852.354049,142.9533679
1859.887006,142.9533679
1862.900188,142.9533679
1870.433145,142.9533679
1877.966102,143.1606218
1877.966102,143.1606218
1883.992467,143.3678756
1887.00565,143.3678756
1899.05838,143.3678756
1899.05838,143.3678756
1903.578154,143.5751295
1914.124294,143.5751295
1917.137476,143.5751295
1929.190207,143.7823834
1933.709981,143.7823834
1935.216573,143.7823834
1947.269303,143.9896373
1950.282486,143.9896373
1956.308851,144.1968912
1959.322034,144.1968912
1971.374765,144.4041451
1972.881356,144.611399
1978.907721,144.611399
1986.440678,144.8186528
1996.986817,145.0259067
2009.039548,145.2331606
2016.572505,145.2331606
2019.585687,145.2331606
1193.973635,125.5440415
1190.960452,125.1295337
1187.947269,125.1295337
1548.022599,136.9430052
