Degree,R-squared,MAE,MSE,RMSE,RAE,RRSE
1,0.7448307103578335,0.033900734191775465,0.004404893175152554,0.06636936925383993,0.3703121553751025,0.5016810218947235
2,0.8489529266149075,0.021054429999403827,0.002592227961383407,0.05091392698843222,0.22998650439744697,0.3848545075445659
3,-2.8905295322130973e+24,7641365096.724551,4.832430441614867e+22,219827897265.4487,83469884839.91736,1661662381019.508
4,-7.8561983846185e+16,1921184.5786616015,1337138984901263.5,36566911.06589759,20985917.242175397,276406503.7428632
5,-2.9728314101881094e+17,2575197.510431866,4970058792183383.0,70498643.90315166,28129978.99130982,532893895.3789902
6,-1.6024572417398136e+18,6059381.095643457,2.678963977427752e+16,163675409.80329794,66189199.946921915,1237209992.6865788
7,-4.093844117551963e+20,110177297.33752584,6.869765705523786e+18,2621023789.576086,1203513535.1245897,19812119776.757324
8,-709567426062242.8,134901.45467952112,13356525216654.486,3654658.0163750597,1473586.0339487789,27625282.39975256
9,-2.476261500996964e+18,13104582.843378073,4.046279939981554e+16,201153671.10698113,143146938.66424403,1520505323.6661093
