quality_score,predicted_quality_score
164.0,150.14
163.23,156.78
165.0,160.6
99.16,141.08
191.0,191.55
185.0,152.03
130.0,116.44
190.0,135.29
148.0,154.15
186.0,148.98
129.21,135.29
155.0,162.54
135.3,135.29
168.0,179.3
192.0,156.26
178.0,174.96
115.3,135.29
