X,Z
-31.6,0.134
-31.575,0.1335
-31.55,0.1325
-31.525,0.1315
-31.5,0.132
-31.475,0.1315
-31.45,0.1305
-31.425,0.1295
-31.4,0.1285
-31.375,0.128
-31.35,0.128
-31.325,0.127
-31.3,0.126
-31.275,0.1265
-31.25,0.1285
-31.225,0.1255
-31.2,0.127
-31.175,0.131
-31.15,0.1325
-31.125,0.129
-31.1,0.13
-31.075,0.13
-31.05,0.1295
-31.025,0.132
-31.0,0.1335
-30.975,0.1335
-30.95,0.1335
-30.925,0.1335
-30.9,0.1335
-30.875,0.1335
-30.85,0.1335
-30.825,0.1335
-30.8,0.1335
-30.775,0.1335
-30.75,0.1335
-30.725,0.1335
-30.7,0.1335
-30.675,0.1335
-30.65,0.1335
-30.625,0.1335
-30.6,0.1335
-30.575,0.1335
-30.55,0.1335
-30.525,0.1335
-30.5,0.1335
-30.475,0.1335
-30.45,0.1335
-30.425,0.1335
-30.4,0.1335
-30.375,0.1335
-30.35,0.1335
-30.325,0.1335
-30.3,0.1335
-30.275,0.1335
-30.25,0.1335
-30.225,0.1335
-30.2,0.1335
-30.175,0.1335
-30.15,0.1335
-30.125,0.1335
-30.1,0.1335
-30.075,0.1335
-30.05,0.1335
-30.025,0.1335
-30.0,0.1335
-29.975,0.1335
-29.95,0.1335
-29.925,0.1335
-29.9,0.1335
-29.875,0.1335
-29.85,0.1335
-29.825,0.1335
-29.8,0.1335
-29.775,0.1335
-29.75,0.1335
-29.725,0.1335
-29.7,0.1335
-29.675,0.1335
-29.65,0.1335
-29.625,9.956
-29.6,9.96
-29.575,9.9625
-29.55,9.964
-29.525,9.9685
-29.5,9.964
-29.475,9.968
-29.45,9.9675
-29.425,9.9625
-29.4,9.9695
-29.375,9.966
-29.35,9.973
-29.325,9.976
-29.3,9.9775
-29.275,9.9835
-29.25,9.985
-29.225,9.9815
-29.2,9.969
-29.175,9.97
-29.15,9.977
-29.125,9.974
-29.1,9.9755
-29.075,9.9725
-29.05,9.9725
-29.025,9.9715
-29.0,9.9695
-28.975,9.9705
-28.95,9.967
-28.925,9.968
-28.9,9.9695
-28.875,9.9685
-28.85,9.9665
-28.825,9.9675
-28.8,9.964
-28.775,9.9615
-28.75,9.9605
-28.725,9.9595
-28.7,9.958
-28.675,9.958
-28.65,9.96
-28.625,9.9575
-28.6,9.9575
-28.575,9.957
-28.55,9.9545
-28.525,9.956
-28.5,9.955
-28.475,9.954
-28.45,9.953
-28.425,9.952
-28.4,9.951
-28.375,9.95
-28.35,9.949
-28.325,9.948
-28.3,9.947
-28.275,9.946
-28.25,9.945
-28.225,9.944
-28.2,9.945
-28.175,9.943
-28.15,9.942
-28.125,9.946
-28.1,9.954
-28.075,9.9485
-28.05,9.9575
-28.025,9.9605
-28.0,9.9595
-27.975,9.9585
-27.95,9.9575
-27.925,9.9565
-27.9,9.9555
-27.875,9.9545
-27.85,9.9505
-27.825,9.9455
-27.8,9.952
-27.775,9.951
-27.75,9.95
-27.725,9.949
-27.7,9.9495
-27.675,9.9525
-27.65,9.955
-27.625,9.954
-27.6,9.953
-27.575,9.9505
-27.55,9.947
-27.525,9.9455
-27.5,9.94
-27.475,9.939
-27.45,9.938
-27.425,9.937
-27.4,9.936
-27.375,9.9355
-27.35,9.939
-27.325,9.9385
-27.3,9.9395
-27.275,9.936
-27.25,9.9315
-27.225,9.934
-27.2,9.9285
-27.175,9.931
-27.15,9.928
-27.125,9.9275
-27.1,9.928
-27.075,9.924
-27.05,9.927
-27.025,9.9225
-27.0,9.9275
-26.975,9.9265
-26.95,9.9215
-26.925,9.929
-26.9,9.922
-26.875,9.9255
-26.85,9.9225
-26.825,9.9185
-26.8,9.9165
-26.775,9.9115
-26.75,9.914
-26.725,9.9145
-26.7,9.9135
-26.675,9.9135
-26.65,9.9155
-26.625,9.921
-26.6,9.921
-26.575,9.912
-26.55,9.909
-26.525,9.908
-26.5,9.9065
-26.475,9.907
-26.45,9.904
-26.425,9.9045
-26.4,9.9035
-26.375,9.9065
-26.35,9.912
-26.325,9.906
-26.3,9.91
-26.275,9.906
-26.25,9.906
-26.225,9.906
-26.2,9.902
-26.175,9.906
-26.15,9.9
-26.125,9.902
-26.1,9.9
-26.075,9.8995
-26.05,9.905
-26.025,9.904
-26.0,9.905
-25.975,9.9045
-25.95,9.904
-25.925,9.9035
-25.9,9.9015
-25.875,9.902
-25.85,9.9
-25.825,9.8995
-25.8,9.904
-25.775,9.909
-25.75,9.908
-25.725,9.907
-25.7,9.906
-25.675,9.905
-25.65,9.904
-25.625,9.903
-25.6,9.902
-25.575,9.901
-25.55,9.9
-25.525,9.899
-25.5,9.898
-25.475,9.897
-25.45,9.896
-25.425,9.895
-25.4,9.894
-25.375,9.893
-25.35,9.897
-25.325,9.902
-25.3,9.896
-25.275,9.9005
-25.25,9.903
-25.225,9.905
-25.2,9.9015
-25.175,9.892
-25.15,9.8965
-25.125,9.8935
-25.1,9.8965
-25.075,9.9035
-25.05,9.91
-25.025,9.913
-25.0,9.91
-24.975,9.911
-24.95,9.9145
-24.925,9.9135
-24.9,9.9075
-24.875,9.905
-24.85,9.905
-24.825,9.9045
-24.8,9.906
-24.775,9.9085
-24.75,9.909
-24.725,9.905
-24.7,9.9075
-24.675,9.904
-24.65,9.904
-24.625,9.903
-24.6,9.9005
-24.575,9.9025
-24.55,9.898
-24.525,9.8935
-24.5,9.891
-24.475,9.8895
-24.45,9.888
-24.425,9.888
-24.4,9.886
-24.375,9.889
-24.35,9.887
-24.325,9.886
-24.3,9.886
-24.275,9.8805
-24.25,9.8795
-24.225,9.873
-24.2,9.8705
-24.175,9.8695
-24.15,9.8685
-24.125,9.8675
-24.1,9.8665
-24.075,9.8655
-24.05,9.8645
-24.025,9.8655
-24.0,9.866
-23.975,9.8625
-23.95,9.867
-23.925,9.861
-23.9,9.8625
-23.875,9.8615
-23.85,9.8585
-23.825,9.8615
-23.8,9.8545
-23.775,9.8585
-23.75,9.858
-23.725,9.863
-23.7,9.871
-23.675,9.867
-23.65,9.869
-23.625,9.866
-23.6,9.866
-23.575,9.865
-23.55,9.8625
-23.525,9.8645
-23.5,9.86
-23.475,9.8615
-23.45,9.8595
-23.425,9.858
-23.4,9.859
-23.375,9.855
-23.35,9.857
-23.325,9.8535
-23.3,9.854
-23.275,9.853
-23.25,9.8505
-23.225,9.8525
-23.2,9.848
-23.175,9.8425
-23.15,9.838
-23.125,9.8315
-23.1,9.8285
-23.075,9.8335
-23.05,9.836
-23.025,9.839
-23.0,9.8415
-22.975,9.841
-22.95,9.8365
-22.925,9.831
-22.9,9.83
-22.875,9.8195
-22.85,9.823
-22.825,9.8205
-22.8,9.8095
-22.775,9.807
-22.75,9.8085
-22.725,9.805
-22.7,9.8055
-22.675,9.804
-22.65,9.8035
-22.625,9.8075
-22.6,9.8105
-22.575,9.815
-22.55,9.816
-22.525,9.815
-22.5,9.814
-22.475,9.813
-22.45,9.812
-22.425,9.807
-22.4,9.808
-22.375,9.809
-22.35,9.808
-22.325,9.8075
-22.3,9.8105
-22.275,9.81
-22.25,9.8105
-22.225,9.812
-22.2,9.815
-22.175,9.8165
-22.15,9.8155
-22.125,9.8145
-22.1,9.815
-22.075,9.8145
-22.05,9.812
-22.025,9.813
-22.0,9.81
-21.975,9.8105
-21.95,9.807
-21.925,9.805
-21.9,9.808
-21.875,9.807
-21.85,9.811
-21.825,9.807
-21.8,9.804
-21.775,9.803
-21.75,9.802
-21.725,9.801
-21.7,9.8
-21.675,9.799
-21.65,9.798
-21.625,9.797
-21.6,9.796
-21.575,9.795
-21.55,9.794
-21.525,9.793
-21.5,9.792
-21.475,9.791
-21.45,9.79
-21.425,9.789
-21.4,9.788
-21.375,9.787
-21.35,9.786
-21.325,9.785
-21.3,9.785
-21.275,9.7905
-21.25,9.7855
-21.225,9.787
-21.2,9.786
-21.175,9.784
-21.15,9.785
-21.125,9.7805
-21.1,9.783
-21.075,9.78
-21.05,9.78
-21.025,9.7815
-21.0,9.78
-20.975,9.78
-20.95,9.778
-20.925,9.7795
-20.9,9.783
-20.875,9.784
-20.85,9.781
-20.825,9.783
-20.8,9.782
-20.775,9.7845
-20.75,9.7875
-20.725,9.789
-20.7,9.789
-20.675,9.787
-20.65,9.783
-20.625,9.7775
-20.6,9.7745
-20.575,9.7735
-20.55,9.7725
-20.525,9.7715
-20.5,9.7705
-20.475,9.7725
-20.45,9.7755
-20.425,9.778
-20.4,9.781
-20.375,9.778
-20.35,9.783
-20.325,9.781
-20.3,9.7825
-20.275,9.788
-20.25,9.776
-20.225,9.7865
-20.2,9.786
-20.175,9.789
-20.15,9.7915
-20.125,9.788
-20.1,9.791
-20.075,9.786
-20.05,9.7875
-20.025,9.7855
-20.0,9.784
-19.975,9.7855
-19.95,9.78
-19.925,9.7775
-19.9,9.774
-19.875,9.7675
-19.85,9.763
-19.825,9.761
-19.8,9.757
-19.775,9.754
-19.75,9.7545
-19.725,9.753
-19.7,9.75
-19.675,9.7485
-19.65,9.748
-19.625,9.736
-19.6,9.7345
-19.575,9.7335
-19.55,9.7275
-19.525,9.724
-19.5,9.7285
-19.475,9.715
-19.45,9.711
-19.425,9.712
-19.4,9.7
-19.375,9.661
-19.35,3.617
-19.325,-0.1745
-19.3,-0.174
-19.275,-0.1735
-19.25,-0.173
-19.225,-0.1735
-19.2,-0.174
-19.175,-0.1745
-19.15,-0.1745
-19.125,-0.1755
-19.1,-0.1765
-19.075,-0.1775
-19.05,-0.1785
-19.025,-0.179
-19.0,-0.1795
-18.975,-0.18
-18.95,-0.181
-18.925,-0.182
-18.9,-0.182
-18.875,-0.1825
-18.85,-0.183
-18.825,-0.1825
-18.8,-0.1835
-18.775,-0.1835
-18.75,-0.1785
-18.725,-0.183
-18.7,-0.1815
-18.675,-0.1825
-18.65,-0.184
-18.625,-0.183
-18.6,-0.187
-18.575,-0.1855
-18.55,-0.1875
-18.525,-0.189
-18.5,-0.188
-18.475,-0.1915
-18.45,-0.1905
-18.425,-0.193
-18.4,-0.1945
-18.375,-0.194
-18.35,-0.1995
-18.325,-0.1995
-18.3,-0.2015
-18.275,-0.203
-18.25,-0.2035
-18.225,-0.206
-18.2,-0.2065
-18.175,-0.208
-18.15,-0.209
-18.125,-0.2095
-18.1,-0.2115
-18.075,-0.2115
-18.05,-0.213
-18.025,-0.2135
-18.0,-0.214
-17.975,-0.2155
-17.95,-0.215
-17.925,-0.2165
-17.9,-0.2175
-17.875,-0.218
-17.85,-0.219
-17.825,-0.218
-17.8,-0.219
-17.775,-0.2195
-17.75,-0.22
-17.725,-0.2205
-17.7,-0.222
-17.675,-0.2225
-17.65,-0.2225
-17.625,-0.223
-17.6,-0.223
-17.575,-0.223
-17.55,-0.2235
-17.525,-0.2245
-17.5,-0.2255
-17.475,-0.226
-17.45,-0.2275
-17.425,-0.228
-17.4,-0.226
-17.375,-0.227
-17.35,-0.229
-17.325,-0.228
-17.3,-0.2315
-17.275,-0.2305
-17.25,-0.232
-17.225,-0.2335
-17.2,-0.233
-17.175,-0.236
-17.15,-0.235
-17.125,-0.237
-17.1,-0.2375
-17.075,-0.2365
-17.05,-0.241
-17.025,-0.2385
-17.0,-0.241
-16.975,-0.242
-16.95,-0.2405
-16.925,-0.2425
-16.9,-0.242
-16.875,-0.2405
-16.85,-0.242
-16.825,-0.2435
-16.8,-0.2425
-16.775,-0.243
-16.75,-0.2435
-16.725,-0.243
-16.7,-0.243
-16.675,-0.245
-16.65,-0.2435
-16.625,-0.242
-16.6,-0.2415
-16.575,-0.242
-16.55,-0.242
-16.525,-0.2405
-16.5,-0.241
-16.475,-0.242
-16.45,-0.2425
-16.425,-0.244
-16.4,-0.244
-16.375,-0.2455
-16.35,-0.2465
-16.325,-0.2475
-16.3,-0.2485
-16.275,-0.2485
-16.25,-0.25
-16.225,-0.2495
-16.2,-0.2505
-16.175,-0.252
-16.15,-0.2535
-16.125,-0.255
-16.1,-0.2555
-16.075,-0.2565
-16.05,-0.258
-16.025,-0.258
-16.0,-0.26
-15.975,-0.2605
-15.95,-0.2615
-15.925,-0.2625
-15.9,-0.263
-15.875,-0.2645
-15.85,-0.265
-15.825,-0.266
-15.8,-0.267
-15.775,-0.266
-15.75,-0.2665
-15.725,-0.268
-15.7,-0.2685
